worker_memory_cap_gib,regime,rtt_ms,bandwidth_gbps,worker_count,total_resident_gib,max_peak_gib_per_worker,admissible_exact_tok_s_per_user,diagnostic_tok_s_per_user,target_pass_ms_diagnostic,active_worker_seconds_per_output_token,resident_worker_seconds_per_output_token,network_mb_per_output_token,compute_work_inflation,one_request_worker_utilization,market_unique_compatible_machines,market_fleet_feasible,market_estimated_hourly_fleet_price_usd,market_estimate_is_actual_cost_per_token,admissible,evidence_class
8,A,0.25,25.0,376,1453.6644563674927,4.494645617902279,,25.618837316724754,663.5742203999978,0.4646088529411774,14.676700404141128,141.09228329411766,1.76755855149925,0.03165621973247366,6,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
8,B,1.0,10.0,376,1453.6644563674927,4.494645617902279,,10.17070678190609,1671.4669260000076,0.4646088529411774,36.96891553976487,141.09228329411766,1.76755855149925,0.012567554286017106,6,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
8,C,5.0,1.0,376,1453.6644563674927,4.494645617902279,,2.2495751415997316,7556.982510000024,0.4646088529411774,167.14267198588288,141.09228329411766,1.76755855149925,0.002779714165275628,6,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
8,D,20.0,0.1,376,1453.6644563674927,4.494645617902279,,0.49169853575776434,34574.03015000041,0.6794873000000012,764.6961962588326,141.092336,1.8219584824344004,0.0008885715704148856,6,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
8,E,50.0,0.1,376,1453.6644563674927,4.494645617902279,,0.2335818147137019,72779.63835000028,0.4646088529411774,1609.714354094124,141.09228329411766,1.76755855149925,0.00028862813564375385,6,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
4,A,0.25,25.0,744,1453.6644563674927,2.5089560989290476,,26.68839030803621,636.9810919199981,0.4646088529411734,27.87729014049874,142.41119529411765,1.7675585514992347,0.01666621291379451,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
4,B,1.0,10.0,744,1453.6644563674927,2.5089560989290476,,10.624712768858771,1600.0432548000085,0.4646088529411734,70.02542244536507,142.41119529411765,1.7675585514992347,0.00663485969404428,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
4,C,5.0,1.0,744,1453.6644563674927,2.5089560989290476,,2.3525013814656055,7226.350698000024,0.4646088529411734,316.25911290070695,142.41119529411765,1.7675585514992347,0.0014690765704103064,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
4,D,20.0,0.1,744,1453.6644563674927,2.5089560989290476,,0.5436500742801659,31270.114370000403,0.6794873000000002,1368.527358310606,142.411248,1.8219584824343977,0.0004965098402115989,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
4,E,50.0,0.1,744,1453.6644563674927,2.5089560989290476,,0.2443514387194864,69571.92513000045,0.4646088529411734,3044.7948409835494,142.41119529411765,1.7675585514992347,0.0001525911850241757,0,False,,False,False,PHYSICAL_SHARD_EXECUTION inputs + SHAPED_NETWORK + UNVALIDATED_INDEPENDENT_MACHINE_MODEL_DIAGNOSTIC_ONLY
