inventory_id,family,scenario,planner_level,feasible,infeasible_reason,exact_tok_s_per_user,critical_path_ms,total_worker_compute_ms,network_bytes_per_target_pass,network_bytes_per_token,messages_per_target_pass,serial_waits_per_target_pass,worker_seconds_per_token,workers_used,useful_nodes,available_nodes,available_accelerator_memory_bytes,resident_memory_bytes,stranded_memory_bytes,memory_utilization_percent,projected_abstract_node_cost,chunk_rows,whole_layer_count,whole_expert_count,expert_shard_count,attention_projection_shard_count,full_mixed_count,whole_layer_percent,whole_expert_percent,expert_shard_percent,attention_projection_shard_percent,full_mixed_percent,critical_path_whole_layer_percent,critical_path_whole_expert_percent,critical_path_expert_shard_percent,critical_path_attention_projection_percent,critical_path_full_mixed_percent,optimizer_elapsed_ms,optimizer_proposals,optimizer_exact_evaluations,fallback_retained,objective_primary,memory_factor,planner
memory-fragmented-02:memory-0.55,memory-fragmented,accelerator memory x0.55,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,102,1062616852056,0,1062616852056,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5295,24,0,False,maximize exact K3 target-only tok/s/user,0.55,whole
memory-fragmented-02:memory-0.55,memory-fragmented,accelerator memory x0.55,E,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,102,1062616852056,0,1062616852056,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553.1115,24,0,False,maximize exact K3 target-only tok/s/user,0.55,adaptive
memory-fragmented-02:memory-0.70,memory-fragmented,accelerator memory x0.70,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,102,1352421448080,0,1352421448080,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.1166,24,0,False,maximize exact K3 target-only tok/s/user,0.7,whole
memory-fragmented-02:memory-0.70,memory-fragmented,accelerator memory x0.70,E,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,102,1352421448080,0,1352421448080,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3234.7953,24,0,False,maximize exact K3 target-only tok/s/user,0.7,adaptive
memory-fragmented-02:memory-0.85,memory-fragmented,accelerator memory x0.85,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,102,1642226044104,0,1642226044104,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1073,24,0,False,maximize exact K3 target-only tok/s/user,0.85,whole
memory-fragmented-02:memory-0.85,memory-fragmented,accelerator memory x0.85,E,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,102,1642226044104,0,1642226044104,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4297.4391,24,0,False,maximize exact K3 target-only tok/s/user,0.85,adaptive
memory-fragmented-02:memory-1.00,memory-fragmented,accelerator memory x1.00,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,102,1932030640128,0,1932030640128,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.1542,24,0,False,maximize exact K3 target-only tok/s/user,1.0,whole
memory-fragmented-02:memory-1.00,memory-fragmented,accelerator memory x1.00,E,True,,0.5981284675986195,28421.987785085716,31496.831897498676,172896256,10170368.0,7860,20531,1.8527548174999222,102,102,102,1932030640128,1697429113250,234601526878,87.85725640135514,66.22859999999999,1,41,0,44,8,0,44.086021505376344,0.0,47.31182795698925,8.60215053763441,0.0,0.0,0.0,0.0,0.0,0.0,5724.0683,24,6,False,maximize exact K3 target-only tok/s/user,1.0,adaptive
memory-fragmented-02:memory-1.15,memory-fragmented,accelerator memory x1.15,A,False,shared optimizer found no hard-memory-feasible placement,,,,,,,,,0,0,102,2221835236128,0,2221835236128,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.1969,24,0,False,maximize exact K3 target-only tok/s/user,1.15,whole
memory-fragmented-02:memory-1.15,memory-fragmented,accelerator memory x1.15,E,True,,0.7191896616307835,23637.714648806275,30145.833567499452,219636736,12919808.0,9084,22061,1.7732843274999677,95,95,102,2221835236128,1698569963938,523265272190,76.44896148546567,62.417499999999976,1,43,0,38,12,0,46.236559139784944,0.0,40.86021505376344,12.903225806451612,0.0,0.0,0.0,0.0,0.0,0.0,6109.7872,24,6,False,maximize exact K3 target-only tok/s/user,1.15,adaptive
